review,insight,insight_encoded,predicted_insights,decoded_insight,decoded_predicted_insights
"[REDACTED] offered a great price for the product I wanted, unfortunately I was let down by the garage I picked to fit the tyres. I will use [REDACTED] again but not that garage in Swardeston","['value for money positive', 'garage service negative']","9, 4","(4, 9)","['value for money positive', 'garage service negative']","['garage service negative', 'value for money positive']"
"No fuss, easy purchase. Delivered to my chosen garage without any issues.",['ease of booking positive'],3,"(3,)",['ease of booking positive'],['ease of booking positive']
"From my experience with [REDACTED].com over recent years, I highly recommend their service! Good products, prices & follow up, to ensure work is carried out atyour chosen Tyre Fitters, is second to none!",['value for money positive'],9,"(9,)",['value for money positive'],['value for money positive']
"Yet again,a first rate service provided by [REDACTED] and the associated fitter, who did so at the appointed time in a very professional manner. Cannot complain!",['garage service positive'],5,"(5,)",['garage service positive'],['garage service positive']
"Easy to follow web site, good selection of tyres in stock, reasonable prices,good explanation of tyre spec.a few chioces of local fitting garages. Well organised, garage, had the booking and the correct tyres. They, were fitted on time, within 30 mins. great job done.","['location positive', 'garage service positive', 'value for money positive', 'length of fitting positive']","7, 5, 9, 6","(3, 5, 6, 7, 9)","['location positive', 'garage service positive', 'value for money positive', 'length of fitting positive']","['ease of booking positive', 'garage service positive', 'length of fitting positive', 'location positive', 'value for money positive']"
Everything went very smoothly. Tyres were fitted very professionally albeit on the slow side. Prices were very competitive and I would certainly use again. Well done.,"['garage service positive', 'value for money positive']","5, 9","(6, 9)","['garage service positive', 'value for money positive']","['length of fitting positive', 'value for money positive']"
"I have used this company several times mainly because if their competitive prices, however once I have ordered my tyres and paid for them and booked my fitting time I believe that all is good , however as has happened today for my fitting tomorrow I have just had a cancellation email as the tyres haven’t been sent to the garage.This seems to be a common problem going by other reviews so my question is how can they be so incompetent, it should be simple , customer orders tyres, they should be delivered to relevant garage to be fitted...simple. But once again they have failed me ( I don’t think I will use them again and would not recommend them) other issues I’ve previously had were booked into a garage for a Saturday appointment when the garage didn’t open on a Saturday and another appointment was cancelled because they didn’t have enough fitters!","['delivery punctuality negative', 'value for money positive']","1, 9","(1, 9)","['delivery punctuality negative', 'value for money positive']","['delivery punctuality negative', 'value for money positive']"
Good selection of tyresEasy to navigate websiteCompetitive prices,['value for money positive'],9,"(9,)",['value for money positive'],['value for money positive']
"Tyres okay, good price, service at one of their approved centres below average, since have to pump up tyres to correct pressure after visit.","['value for money positive', 'garage service negative']","9, 4","(4, 9)","['value for money positive', 'garage service negative']","['garage service negative', 'value for money positive']"
Great Service Easy to use Huge savings Highly recommended,['value for money positive'],9,"(9,)",['value for money positive'],['value for money positive']
Very quick service tyres ready to fit at chosen place which were very friendly,['garage service positive'],5,"(5,)",['garage service positive'],['garage service positive']
"Very competitive tyre prices coupled with a really helpful fitting service (thanks Best Autocentre, Newport, Isle of Wight) means that I would recommend [REDACTED].","['value for money positive', 'garage service positive']","9, 5","(5, 9)","['value for money positive', 'garage service positive']","['garage service positive', 'value for money positive']"
Great service and exceptional price once again from [REDACTED].,['value for money positive'],9,"(9,)",['value for money positive'],['value for money positive']
Good price and service.,['value for money positive'],9,"(9,)",['value for money positive'],['value for money positive']
"booked very quickly, found out the local ATS would be fitting them, (0.2 miles from me) tryes were fitted in an hour for all 4, what more could you want?","['length of fitting positive', 'ease of booking positive']","6, 3","(6, 7)","['length of fitting positive', 'ease of booking positive']","['length of fitting positive', 'location positive']"
Excellent customer service as I needed to change my appointment time. [REDACTED] made the change and called back promptly 👍👍Competitive price too. Would have been 5 stars but on arrival at the fitter I was initially told there was an hours wait before the car could be looked at 😡 However they managed to fit me in!,['value for money positive'],9,"(9,)",['value for money positive'],['value for money positive']
Buying tyres was just so easy and I could be confident they were the right ones. A stress free process. The garage was also fantastic with a friendly and fast service.,['garage service positive'],5,"(5, 6)",['garage service positive'],"['garage service positive', 'length of fitting positive']"
Made it very simple to sort out and with a great price and good service at ats with the fitting. So very happy.,"['garage service positive', 'value for money positive']","5, 9","(5, 9)","['garage service positive', 'value for money positive']","['garage service positive', 'value for money positive']"
"If you are like me and work miles from my home, don't have time to call round all the local tyre centres when you need tyres, then what more is to say.I definitely recommend this company as the way forward, the website is easy to navigate, prices are best by far, I was kept well informed of the progress of the delivery.What made the most difference was the fact that they were not only cheaper than anywhere else, but I could get on with my working day.The guys that came out to fit the new tyres at my place of work arrived on time, were very professional and did a great job without me having to sit about in a reception area.",['value for money positive'],9,"(5, 9)",['value for money positive'],"['garage service positive', 'value for money positive']"
"Have bought from [REDACTED] a few times now. Great prices, good service, very happy to recommend",['value for money positive'],9,"(9,)",['value for money positive'],['value for money positive']
Excellent price for great quality tyres. Easy to use website. Highly recommend.,['value for money positive'],9,"(9,)",['value for money positive'],['value for money positive']
"Simple straightforward transaction with [REDACTED], best price on the tyres i wanted as well, id use them again. Tyrespot on the other hand ill be staying clear in future, my cars still on axle stands with a damaged wheel and tyre valve.","['ease of booking positive', 'value for money positive']","3, 9","(4, 9)","['ease of booking positive', 'value for money positive']","['garage service negative', 'value for money positive']"
"Excellent service. I needed to replace one tyre urgently because of slight damage, which meant I was not completely happy driving a distance on the one I had. I needed an absolute match to my other tyres and quick service. I got both with [REDACTED], at the best price I could see and fitting within 2 miles do home within 48 hours.Thank You !","['value for money positive', 'location positive']","9, 7","(6, 7, 9)","['value for money positive', 'location positive']","['length of fitting positive', 'location positive', 'value for money positive']"
"Plenty of choice, good prices, lots of local tyre fitting places to choose from.","['location positive', 'value for money positive']","7, 9","(7, 9)","['location positive', 'value for money positive']","['location positive', 'value for money positive']"
Excellent service. The garage called up to check the tyres were correct for my car. Everything was ready for the fitting. It was done very quickly. Cheapest set of Michelin tyres I've ever had for this car!,"['length of fitting positive', 'value for money positive', 'garage service positive']","6, 9, 5","(6, 9)","['length of fitting positive', 'value for money positive', 'garage service positive']","['length of fitting positive', 'value for money positive']"
Brilliant service very easy to book on line,['ease of booking positive'],3,"(3,)",['ease of booking positive'],['ease of booking positive']
"Straight forward ordering process, arrived on time at chosen fitter and fitted without drama by a very pleasant chap (ATS Swindon, Holby drive). They were £30 a pair cheaper for specific Branded tyres (Michelin Agilis GreenX) than my usual home-fitting tyre supplier. I Will definitely be using [REDACTED] again :-)","['value for money positive', 'garage service positive']","9, 5","(5, 9)","['value for money positive', 'garage service positive']","['garage service positive', 'value for money positive']"
Everything happened as it should. The guys at Jeffreys High Performance Tyres were really helpful and kept me updated during fitting. Will be buying my tyres this way from now on!,['garage service positive'],5,"(5,)",['garage service positive'],['garage service positive']
[REDACTED] offers top brand tyres at very competitive prices. The local fitting option makes the process very convenient.,"['value for money positive', 'location positive']","9, 7","(7, 9)","['value for money positive', 'location positive']","['location positive', 'value for money positive']"
"Very good performance, value for money, would definitely buy again and great customer service.",['value for money positive'],9,"(9,)",['value for money positive'],['value for money positive']
"Price, convenience and able to select when and where you have your tyres fitted.","['value for money positive', 'ease of booking positive']","9, 3","(3, 9)","['value for money positive', 'ease of booking positive']","['ease of booking positive', 'value for money positive']"
Such an easy process and delivered to approved garage of choice.,['location positive'],7,"(3,)",['location positive'],['ease of booking positive']
Very good quality service,['value for money positive'],9,"(9,)",['value for money positive'],['value for money positive']
"Very easy to use the website, and ‘[REDACTED] arranged everything with the garage. Very straightforward. Prices better than garage quotes. Overall delighted.",['value for money positive'],9,"(9,)",['value for money positive'],['value for money positive']
"It’s a win, win for everyone. [REDACTED] makes money, the tyre fitter makes money, and more importantly the customer saves money",['value for money positive'],9,"(9,)",['value for money positive'],['value for money positive']
Excellent price and choice. Can’t fault [REDACTED] or my local ATS in Saffron Walden,"['value for money positive', 'location positive', 'garage service positive']","9, 7, 5","(5, 7, 9)","['value for money positive', 'location positive', 'garage service positive']","['garage service positive', 'location positive', 'value for money positive']"
"Prices are very competitive, and our local [REDACTED] approved garage offers exceptional service.Recently I ordered the wrong size tyres and [REDACTED] customer services were brilliant at correcting my mistake. I thoroughly recommend them.","['garage service positive', 'value for money positive']","5, 9","(7, 9)","['garage service positive', 'value for money positive']","['location positive', 'value for money positive']"
The garage I selected to fit the tyres were not able to fit them on the day I booked. [REDACTED] found me an alternative. So kudos to them. Their own brand tyres look good and handle well too.,['garage service negative'],4,"(4,)",['garage service negative'],['garage service negative']
"No refund. Cancelled order with full refund. 6 weeks later, checked bank balance - no refund at all!",['change of date negative'],0,"(0, 2)",['change of date negative'],"['change of date negative', 'ease of booking negative']"
"Great service great price , everything they said it would be",['value for money positive'],9,"(9,)",['value for money positive'],['value for money positive']
Few dealers had tyre of this size and type to match other tyres on car. Also offered best price,['value for money positive'],9,"(9,)",['value for money positive'],['value for money positive']
"Fitted two 245/45/R19 XL Avon ZX7 to the front of my T5 at F&M auto care Willand very friendly professional bunch. We have been touring Wales in the camper no immediate issues,the Avon’s are quieter and the grip is there in the wet good all round choice will replace the back when worn with the same tyre",['garage service positive'],5,"(5,)",['garage service positive'],['garage service positive']
"Returning customer, this time with Warrington Truck and Van, Westbrook!!Excellent service, speedy and professional!!","['length of fitting positive', 'garage service positive']","6, 5","(5, 6)","['length of fitting positive', 'garage service positive']","['garage service positive', 'length of fitting positive']"
Quick and convenient online service with good local choices of garages to choose from with a time that suits you to get the tyres fitted. I have used them about 3 times over recent years and would definitely recommend them.,"['location positive', 'ease of booking positive']","7, 3","(3, 7)","['location positive', 'ease of booking positive']","['ease of booking positive', 'location positive']"
"Easy to choose and order tyres, can book 1 hour slot with my choice of tyre fitting company. Excellent.",['ease of booking positive'],3,"(3,)",['ease of booking positive'],['ease of booking positive']
Excellent price and the mobile fitting service saved me a lot of hassle as my old tyre was completely flat and wouldn’t inflate making it impossible to get to a fitting centre. Good tyre and reasonable price,['value for money positive'],9,"(9,)",['value for money positive'],['value for money positive']
"good priced tyres, convieniently fitted at a local garage of your choice","['location positive', 'value for money positive']","7, 9","(7, 9)","['location positive', 'value for money positive']","['location positive', 'value for money positive']"
"Competitively priced, very good service, tyre installers provided a great service, too, and gave good advice.","['value for money positive', 'garage service positive']","9, 5","(5, 9)","['value for money positive', 'garage service positive']","['garage service positive', 'value for money positive']"
Booked tyres of my choice for fitting at my local ATS. Received several texts from ATS to remind me to attend at the appointed time. On the day the tyres were ready and fitted without any problems. Good choice of tyres when I booked and prices were competitive with other on-line offers. Have used [REDACTED] several times without any complaints and have always been satisfied with the service.,"['location positive', 'value for money positive']","7, 9","(3, 5, 7, 9)","['location positive', 'value for money positive']","['ease of booking positive', 'garage service positive', 'location positive', 'value for money positive']"
"Fast efficient service. One change to the date and time I had originally submitted, but otherwise great tyres and excellent garage fitting. Stratford Tyres has good waiting area and the car was seen to as soon as I arrived.","['length of fitting positive', 'garage service positive']","6, 5","(5, 6)","['length of fitting positive', 'garage service positive']","['garage service positive', 'length of fitting positive']"
The garage had problems on the day our tyres were due to be fitted. The staff did not have a key to open up and we had to wait an hour for someone to turn up with one .Once inside they said the tyres were not there and to come back another day also their fitting machine had broken. A message to [REDACTED] was immediately acted upon confirming that the tyres were there and arranging another date. Eventually our tyres were fitted and they seem fine and [REDACTED] refunded some money for the inconvenience.So all in all I think [REDACTED] did a good job.,['change of date negative'],0,"(0, 2)",['change of date negative'],"['change of date negative', 'ease of booking negative']"
"An excellent easy to use website with different search options leading to a focussed selection. The garage they partner with near me were extremely professional, friendly and efficient. An obviously well thought out customer journey and when i had a question was able to talk with a British based team. Brilliant","['location positive', 'garage service positive']","7, 5","(5, 6, 7)","['location positive', 'garage service positive']","['garage service positive', 'length of fitting positive', 'location positive']"
Used twice so far. Swift delivery and v competitive pricing. Works well with ATS Taunton. Happy to recommend.,"['value for money positive', 'garage service positive']","9, 5","(5, 9)","['value for money positive', 'garage service positive']","['garage service positive', 'value for money positive']"
Ordered 2 Bridgestone tyres to be fitted by local garage. Choice of fitting days and times. No problems with service from start to finish. Excellent service and happy with choice of tyre and price.,"['ease of booking positive', 'location positive', 'value for money positive']","3, 7, 9","(3, 7, 9)","['ease of booking positive', 'location positive', 'value for money positive']","['ease of booking positive', 'location positive', 'value for money positive']"
"Great company to deal with good price for quality product, always do what they promise",['value for money positive'],9,"(9,)",['value for money positive'],['value for money positive']
"Quick, smooth transaction & professional garages. All at all inclusive best price. Been using them for last 4-5 years now. Always best",['garage service positive'],5,"(5, 9)",['garage service positive'],"['garage service positive', 'value for money positive']"
Well priced great service,['value for money positive'],9,"(9,)",['value for money positive'],['value for money positive']
"This was the first time I’d used [REDACTED] and I will definitely use them again!So easy to order and pay for my tyre and to choose the garage.I was kept informed by email throughout the process. The whole procedure was easy, simple and painless!Highly recommend.",['ease of booking positive'],3,"(3,)",['ease of booking positive'],['ease of booking positive']
Great service and value,['value for money positive'],9,"(9,)",['value for money positive'],['value for money positive']
"quick, easy and good price able to use a tyre garage that I had used before",['value for money positive'],9,"(9,)",['value for money positive'],['value for money positive']
"Not a great experience so far. Still waiting for a missing tyre from my order. It seems “chat” to a team member actually means send an e-mail....not quite the same thing! No replies from that as yet.Help line merrily racks up a premium cost whilst you wait....I bailed out just after 5 mins before it cost me any more money.I feel very isolated as a customer with an issue right now.When things go wrong [REDACTED] don’t appear to meet the standards of customer care that we have come to expect from a major online retailer, particularly one owned by a company as reputable as Michelin.",['delivery punctuality negative'],1,"(0, 1)",['delivery punctuality negative'],"['change of date negative', 'delivery punctuality negative']"
"The booking process was simple and choosing a local garage for a specific time slot felt like a ‘win win’ situation.However, I don’t think an hour to fit two new tyres is acceptable, with no apology or explanation. It appeared that this is the ‘norm’ for bookings made via a third party site like [REDACTED] and not directly with the garage themselves - can’t say they seemed happy to receive the additional business, so why sign up to this scheme???I need two more tyres soon, but as the savings are not that great I’ll book direct at my usual fitter, so at least I know it will take half the time - I can’t even say it was a lack of fitters as there were at least 3. I’d say a lesson learned the hard way, which is a shame as it seemed like a good idea at the time, but the customer service was let down by the garage.","['value for money negative', 'ease of booking negative', 'garage service negative', 'location positive']","8, 2, 4, 7","(2,)","['value for money negative', 'ease of booking negative', 'garage service negative', 'location positive']",['ease of booking negative']
"Easy to book on line great customer service when I had to call them, Service at the centre could be better actual work carried out was fine but customer service could be better by fitters.","['ease of booking positive', 'garage service negative']","3, 4","(3,)","['ease of booking positive', 'garage service negative']",['ease of booking positive']
"Well priced and the lady in the office was brilliant trying to accommodate my requested time for fitting, ATS were also excellent.","['value for money positive', 'garage service positive']","9, 5","(5, 9)","['value for money positive', 'garage service positive']","['garage service positive', 'value for money positive']"
"Same tyres as garages but cheaper! Easy to purchase online, price paid includes everything with no extras to pay. Pick your local garage and a time to suit for fitting. Just purchase online and turn up. It's that easy.","['ease of booking positive', 'value for money positive', 'location positive', 'location positive']","3, 9, 7, 7","(3, 7, 9)","['ease of booking positive', 'value for money positive', 'location positive', 'location positive']","['ease of booking positive', 'location positive', 'value for money positive']"
A+++ Service!!!! Cheapest on the net,['value for money positive'],9,"(9,)",['value for money positive'],['value for money positive']
Good price and good overall quick service,['value for money positive'],9,"(9,)",['value for money positive'],['value for money positive']
"Great online service and I used ATS as recommend local fitter.I also used [REDACTED] own tyre brand which are excellent value for money, way better than alternative cost effective tyres. Many thanks",['value for money positive'],9,"(7, 9)",['value for money positive'],"['location positive', 'value for money positive']"
Good quality tyres at a sensible price plus spot on service,['value for money positive'],9,"(9,)",['value for money positive'],['value for money positive']
Ordered wrong tyres on line and telephoned to cancel my order they were very good and returned the money to my card reordered the correct tyres booked the day to get them fitted arrived at garage the car was taken at the time booked and 1hour later the car was returned all 4 tyres fitted exactly as ordered very good service,['length of fitting positive'],6,"(0, 2)",['length of fitting positive'],"['change of date negative', 'ease of booking negative']"
"the whole process - searching, booking paying couldnt be easier, and with a decent range of tyres at good prices - often discounted. Its a really good business model. Flexibility with date time and location. Very please with my two Bridgestones and will use [REDACTED] again.","['ease of booking positive', 'value for money positive', 'location positive']","3, 9, 7","(3, 9)","['ease of booking positive', 'value for money positive', 'location positive']","['ease of booking positive', 'value for money positive']"
"From point of order through to garage fitting of tyres, everything went smoothly, with constant updates via email. Garage was local to where we lived, less than 10 miles away, and fitted according to allocated slot. Great.","['location positive', 'length of fitting positive']","7, 6","(7,)","['location positive', 'length of fitting positive']",['location positive']
Very easy to book and arranged booking. All went very well Thank you,['ease of booking positive'],3,"(3,)",['ease of booking positive'],['ease of booking positive']
"Easy to arrange, wide choice and good value","['value for money positive', 'ease of booking positive']","9, 3","(3, 9)","['value for money positive', 'ease of booking positive']","['ease of booking positive', 'value for money positive']"
Fantastic price for our new tyres. Hassle free from start to finish. Great experience and would highly recommend to anyone wanting new tyres to make [REDACTED].com the first port of call!,['value for money positive'],9,"(9,)",['value for money positive'],['value for money positive']
"easy and simple website, quick and clear response via sms and always a simple process when dealing with tyre fitters",['garage service positive'],5,"(3,)",['garage service positive'],['ease of booking positive']
Easy to order from the website. Tyres fitted at my chosen fitter with no problem. I have used [REDACTED] before and always found their prices competitive and the fitting has always been straightforward,"['location positive', 'value for money positive', 'ease of booking positive']","7, 9, 3","(9,)","['location positive', 'value for money positive', 'ease of booking positive']",['value for money positive']
Very easy to do and book your car in,['ease of booking positive'],3,"(3,)",['ease of booking positive'],['ease of booking positive']
Convenient and cheaper than what the tyre shop could offer.,['value for money positive'],9,"(9,)",['value for money positive'],['value for money positive']
Good service getting the tyres fitted but disappointed the first garage I booked in at couldn't fit because too busy so therefore had to take elsewhere.,"['garage service positive', 'ease of booking negative']","5, 2","(5,)","['garage service positive', 'ease of booking negative']",['garage service positive']
Good prices quick reliable service,['value for money positive'],9,"(9,)",['value for money positive'],['value for money positive']
Very competitive price . Excellent service,['value for money positive'],9,"(9,)",['value for money positive'],['value for money positive']
"What can I say... I'm a typical girl! The only thing that usually concerns me about my car is the 'pretty' colour!... 😏... so, when it comes to getting new tyres for my Hyundai Tucson, I was clueless! Anyway, I popped onto [REDACTED] website and I can honestly say it was one of the best experiences ever!!! I literally put in my number plate and up popped a bunch of tyres at various prices from budget to high end! The price included delivery to a local garage, VAT and fitting and took me about 5 minutes from start to finish. I paid online and then got two emails, one confirming payment and the other to arrange fitting. I did this online too from the link in the email which showed me several garages in my area... I went to my appointment 3 days later at 9am (my choice, they could have done it even sooner!) and they were waiting for me with my two new tyres! Fantastic service and attention from start to finish. I have recommended [REDACTED] to so many people since... and also the garage that fitted them, HiQ in Stocton Road, Guildford. First class service and you've got me as a customer for life now! Thank you so much.","['garage service positive', 'ease of booking positive', 'length of fitting positive', 'location positive']","5, 3, 6, 7","(3, 5, 6, 7, 9)","['garage service positive', 'ease of booking positive', 'length of fitting positive', 'location positive']","['ease of booking positive', 'garage service positive', 'length of fitting positive', 'location positive', 'value for money positive']"
Very efficient & quick service at a competative price. Would definitely use them for future tyre replacements.,['value for money positive'],9,"(9,)",['value for money positive'],['value for money positive']
"Fantastic price, choose a local tyre fitter who were very good. I would definitely recommend","['value for money positive', 'location positive']","9, 7","(5, 7, 9)","['value for money positive', 'location positive']","['garage service positive', 'location positive', 'value for money positive']"
Still not received my tyres due Thursday last week. Never received any of my call back requests and sat for ages on hold to just never get through,['delivery punctuality negative'],1,"(0, 1)",['delivery punctuality negative'],"['change of date negative', 'delivery punctuality negative']"
All a very good experience. I used a tyre fitter that I have used many times in the past for peace of mind .,['garage service positive'],5,"(5,)",['garage service positive'],['garage service positive']
"Everything went exactly as arranged. The staff were friendly and helpful and the tyres are great, thanks.",['garage service positive'],5,"(5,)",['garage service positive'],['garage service positive']
"Fantastic service,would definitely use [REDACTED] again also midpoint for fitting my tyres they were great!.",['garage service positive'],5,"(5,)",['garage service positive'],['garage service positive']
I was able to save money on new tyres and found the support agent helpful. I'll be happy to use [REDACTED] again.,['value for money positive'],9,"(9,)",['value for money positive'],['value for money positive']
"Easy ordering,vast selection of tyres to suit all budgets. Ability to pick and choose fitting centre and time.All in all great service.","['ease of booking positive', 'value for money positive']","3, 9","(3, 9)","['ease of booking positive', 'value for money positive']","['ease of booking positive', 'value for money positive']"
"They swapped my delivery and payment address up so the fitters cancelled the job, then when spoke to [REDACTED] they got them to come out and be with me by 17:00-18:00. At 18:30 they hadn't arrived so phoned them direct, they said they were on another job, they'd come next morning at 09:00 at 09:45 they hadn't arrived so called direct again and they said they were only a few minutes away. They finally arrived at 10:30","['change of date negative', 'ease of booking negative']","0, 2","(0, 1)","['change of date negative', 'ease of booking negative']","['change of date negative', 'delivery punctuality negative']"
Good price. And good service from the garage.,"['value for money positive', 'garage service positive']","9, 5","(5, 9)","['value for money positive', 'garage service positive']","['garage service positive', 'value for money positive']"
"I’ve used [REDACTED] for years now and I’ve always had a fantastic experience. The order process is quick and simple; the tyres are very competitively priced (often the cheapest available online); and the garage fitting experience is straightforward. Give it a go, I assure you you won’t be disappointed. A+++",['value for money positive'],9,"(9,)",['value for money positive'],['value for money positive']
I have used [REDACTED] on a number of occasions and have not been disappointed. Excellent service and competitive pricing.,['value for money positive'],9,"(9,)",['value for money positive'],['value for money positive']
Great service with tyres fitted at a great price. Would definitely buy my tyres from [REDACTED] again.,['value for money positive'],9,"(9,)",['value for money positive'],['value for money positive']
Competetive pricing quick delivery Fitted on time good service from garage fitting tyres Will use [REDACTED] again,"['value for money positive', 'garage service positive']","9, 5","(5, 6, 9)","['value for money positive', 'garage service positive']","['garage service positive', 'length of fitting positive', 'value for money positive']"
Needed to change 3 Run Flats. [REDACTED] were 15% cheaper than the dealer quote and compared to some other companies online. Easy to browse and order. Size specifications are accurate when you choose make and model. Hassle free installation when you pick one of their premier partners. Couldn’t be easier!! Will definitely use again and recommend to friends and family!!But discounts given only when you order 4 tyres...,"['value for money positive', 'ease of booking positive']","9, 3","(3, 9)","['value for money positive', 'ease of booking positive']","['ease of booking positive', 'value for money positive']"
"Excellent product, service and price 👍",['value for money positive'],9,"(9,)",['value for money positive'],['value for money positive']
Very good and cheap,['value for money positive'],9,"(9,)",['value for money positive'],['value for money positive']
"Fast delivery, however 2 incorrect tyres sent and fitted to the vehicle, should have been all V rated but sent 2 V and 2 H, the garage didn’t check and fitted them. This could have voided my insurance if I’d had an accident.",['garage service negative'],4,"(4,)",['garage service negative'],['garage service negative']
"great prices, super efficient service at the selected fitting venue","['length of fitting positive', 'value for money positive', 'garage service positive']","6, 9, 5","(5, 6, 9)","['length of fitting positive', 'value for money positive', 'garage service positive']","['garage service positive', 'length of fitting positive', 'value for money positive']"
Booked in for two tyres on my van turned up early and made very welcome left about 20mins later happy days why go anywhere else great job guys see you again,"['length of fitting positive', 'garage service positive']","6, 5","(5, 6)","['length of fitting positive', 'garage service positive']","['garage service positive', 'length of fitting positive']"
Left the car to be done and got a call an hour later. Great job and no hassle.,['length of fitting positive'],6,"(6,)",['length of fitting positive'],['length of fitting positive']
"Great price, easy ordering","['ease of booking positive', 'value for money positive']","3, 9","(3, 9)","['ease of booking positive', 'value for money positive']","['ease of booking positive', 'value for money positive']"
"As usual I went for the better quality of tyres. This company offered the best price. Less than 23 hours after having the tyres fitted , one of them let me down. It turned out that there had been a problem when the tyre was fitted. As I was 80 miles from home I had to go to another tyre supplier who sorted me out. Once home I contacted [REDACTED] who immediately, no questions asked issued me a refund to pay for the 2nd tyre I had fitted.Mistakes happen, the proof of a really good company is how they react when things go wrong. In this case the response was first class and ensures that I will be using them for my future tyre supplies.","['value for money positive', 'garage service negative']","9, 4","(9,)","['value for money positive', 'garage service negative']",['value for money positive']
Simple efficient and inexpensive - what more can I say?,['value for money positive'],9,"(9,)",['value for money positive'],['value for money positive']
Simple and easy to use. No problems and great price,['value for money positive'],9,"(9,)",['value for money positive'],['value for money positive']
Easy transaction for buying tyres online at a good price with the convenience of using a locally approved garage giving a great service to get them fitted.,"['location positive', 'ease of booking positive', 'value for money positive']","7, 3, 9","(7, 9)","['location positive', 'ease of booking positive', 'value for money positive']","['location positive', 'value for money positive']"
"Great price, excellent service",['value for money positive'],9,"(9,)",['value for money positive'],['value for money positive']
"[REDACTED] were OK, but I make a bad choice by going to Cambridge Performance Tyres. Over-inflated both front tyres significantly, while their paperwork suggested they should have been correct. Also 'lost' one of my nice valve caps.",['garage service negative'],4,"(4,)",['garage service negative'],['garage service negative']
Very easy to order online Great prices Fitted new tyres at a local garage Excellent service all round,"['garage service positive', 'value for money positive']","5, 9","(7, 9)","['garage service positive', 'value for money positive']","['location positive', 'value for money positive']"
"Easy to book in the tyre replacement, the garage were aware of the booking (although they did mention that not all the details get passed through from [REDACTED] hence they collected similar information), they did the work in the timeframe they advised and all is good","['ease of booking positive', 'length of fitting positive']","3, 6","(3, 6)","['ease of booking positive', 'length of fitting positive']","['ease of booking positive', 'length of fitting positive']"
Very good price on 4 Michelin pilot sport. 4. Quick and easy to arrange. Have used befor and will use again.,['value for money positive'],9,"(3, 9)",['value for money positive'],"['ease of booking positive', 'value for money positive']"
Great service at great prices,['value for money positive'],9,"(9,)",['value for money positive'],['value for money positive']
"Great tyres at a good price....The service given by the ATS in Gloucester was adequate. They tried to change our fitting time on arrival, but eventually honoured our agreed time slot.","['value for money positive', 'garage service negative']","9, 4","(5, 9)","['value for money positive', 'garage service negative']","['garage service positive', 'value for money positive']"
Excellent service. 2nd time to use [REDACTED]. but this time I had to amend the time which I was assisted with and when choosing the premier garages. they do the job well and lined my boot as they put my old tyre in. thank you [REDACTED],['garage service positive'],5,"(3, 5)",['garage service positive'],"['ease of booking positive', 'garage service positive']"
I found the whole experience quick and easy and the tyres were delivered to a garage close by also the garage were so professional and quick I was out with in under 30 min and with two kids in toe it helped.,"['length of fitting positive', 'garage service positive', 'location positive']","6, 5, 7","(5, 6, 7)","['length of fitting positive', 'garage service positive', 'location positive']","['garage service positive', 'length of fitting positive', 'location positive']"
"Perfect. Very good price on tyres, inc fitting and old ones cleared too.This particular garage/tyre centre were brilliant. Nice and calm, no panic or danger and polite guys. Took extra care with vehicle being a classic ref jacking points and wheel nug torque. Couldn't be happier.","['value for money positive', 'garage service positive']","9, 5","(5, 9)","['value for money positive', 'garage service positive']","['garage service positive', 'value for money positive']"
Ordered tyres online and booked an appointment locally. It was smooth transaction. Recommended.,['location positive'],7,"(3, 7)",['location positive'],"['ease of booking positive', 'location positive']"
Good service and price. ‚ÄòFaceless‚Äô company,['value for money positive'],9,"(9,)",['value for money positive'],['value for money positive']
"I already contacted [REDACTED] privately regarding a poor experience, but having received 6 E-mails asking me for feedback, they are clearly desperate for me to publicly review them. So here is the message I sent: ""Not a great experience today. I had my Passat booked in for a new pair of rear tyres at 8am at Tesco Bar Hill. I arrived at 7:55 as your instructions say. Your technician showed up at 8:10 with no apology or explanation. I gave him my keys, he said it would take around half an hour. 20 minutes later at 8:30 he phoned me to say he couldn’t find my locking nut, I explained where it was (in the tyre-change kit…not a particularly obtuse place for it to be located?), he still couldn’t find it. I went back to the car to show him where it was, he stated that he didn’t have time to rummage through people’s stuff. I submit that if he’d shown up on time he’d have had an extra 10-15 minutes to rummage through my stuff. He was finished at 9am, so the whole process took over an hour.I received the reminder text of my appointment at 9:37am, having already returned home!"".There you go [REDACTED], are you happy you bombarded me with requests to be reviewed now?",['garage service negative'],4,"(4,)",['garage service negative'],['garage service negative']
I have used this garage on multiple occasions. The promptness and level of service are second to none. Thoroughly recommended.,['garage service positive'],5,"(5,)",['garage service positive'],['garage service positive']
Best price. Good communication throughout. Very pleased.,['value for money positive'],9,"(9,)",['value for money positive'],['value for money positive']
"Good price , local fitter provided good service, returning customer so proven retailer","['garage service positive', 'value for money positive', 'location positive']","5, 9, 7","(5, 7, 9)","['garage service positive', 'value for money positive', 'location positive']","['garage service positive', 'location positive', 'value for money positive']"
"We have now used [REDACTED] twice, both times it was so easy and cheaper than elsewhere. We even found a very local garage on the website to do the work. Will definitely use again when the time comes.","['location positive', 'value for money positive']","7, 9","(7, 9)","['location positive', 'value for money positive']","['location positive', 'value for money positive']"
